node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,node_type,degree,degree_centrality,betweenness_centrality
163843,E-Partners Worldwide Ltd,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,22-MAY-2007,,,,Not To Be Renewed / In Deregistration,Portcullis Trustnet,1406556,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
165895,First Edge Capital Corporation,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,17-JUN-2008,,,,Active,Portcullis Trustnet,1487154,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
145416,Power of Gold Corporation,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,12-JAN-2005,,,,Not To Be Renewed / In Deregistration,Portcullis Trustnet,637383,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,7.316091743790467e-05,1.909505463197895e-06
163850,Palma Premium Ltd,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,22-MAY-2007,,,,Active,Portcullis Trustnet,1406485,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
141326,FINECORP INVESTMENT HOLDINGS LTD,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,19-FEB-2004,,,,Active,Portcullis Trustnet,582624,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
81027087,Jayla Place; Wickhams Cay 1; Road Town; Tortola; British Virgin Islands,,,,,,Jayla Place,,,,,,,,,VGB,British Virgin Islands,Paradise Papers - Appleby,Appleby data is current through 2014,,Address,2101,0.0067308044042872295,0.00128319284967492
147471,Brixbance Universal Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,08-MAY-2006,,,,Active,Portcullis Trustnet,1026036,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,7.316091743790467e-05,1.9104606935446674e-06
163855,Xtra-Cap Ltd,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,22-MAY-2007,,,,Active,Portcullis Trustnet,1406490,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,7.431856299594027e-07
81027090,Canon's Court; 22 Victoria Street; Hamilton; HM 12; Bermuda,,,,,,Canon's Court,,,,,,,,,BMU,Bermuda,Paradise Papers - Appleby,Appleby data is current through 2014,,Address,8558,0.07505090780505054,0.00849421675458013
147474,Canary City International Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,08-MAY-2006,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,1026069,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
147475,Coranilius Corporation,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,08-MAY-2006,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,1026183,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
